Desc	Family ID	GCA_000442015.1_Rozella_k41_t100_protein.faa	GCA_001574975.1_Ganpr1_protein.faa	GCA_001875675.1_ASM187567v1_protein.faa	GCA_002794465.1_KSL3_v6_protein.faa	GCA_023515795.1_ASM2351579v1_protein.faa	GCA_027571585.1_ASM2757158v1_protein.faa	GCA_027604705.1_ASM2760470v1_protein.faa	GCF_000002865.3_V1.0_protein.faa	GCF_000002945.1_ASM294v2_protein.faa	GCF_000011425.1_ASM1142v1_protein.faa	GCF_000146045.2_R64_protein.faa	GCF_000151315.2_C_owczarzaki_V2_protein.faa	GCF_000182565.1_S_punctatus_V1_protein.faa	GCF_000388065.1_Font_alba_ATCC_38817_V2_protein.faa	GCF_000760515.2_UGP1.1_protein.faa
(null)	family90	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2
(null)	family91	2	1	1	1	1	1	2	2	2	1	4	2	2	1	1
(null)	family92	1	4	1	1	1	1	2	2	1	1	3	1	2	2	1
(null)	family93	2	2	1	1	2	1	1	2	2	2	2	2	2	1	1
(null)	family94	1	1	2	1	2	2	2	2	1	1	1	2	2	2	2
(null)	family95	2	2	1	1	2	1	2	1	2	2	2	2	1	2	1
(null)	family96	2	2	1	1	2	1	1	2	2	2	2	2	2	1	1
(null)	family97	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1
(null)	family98	1	1	1	1	2	1	3	2	1	2	1	2	3	1	1
(null)	family99	1	3	1	1	1	1	2	1	2	2	2	1	2	1	2
(null)	family100	2	2	1	2	2	1	1	1	1	2	1	1	2	1	2
(null)	family101	1	1	1	2	1	1	2	1	2	2	2	2	1	2	1
(null)	family102	1	2	1	2	1	1	3	2	1	1	1	2	2	1	1
(null)	family103	2	1	1	1	1	1	2	1	3	1	2	1	2	1	1
(null)	family104	1	2	1	1	2	1	2	1	1	1	1	2	1	3	1
(null)	family105	2	2	1	1	1	1	1	1	2	3	2	1	1	1	1
(null)	family106	1	1	1	1	1	1	2	1	2	1	2	1	3	1	1
(null)	family107	1	2	1	1	1	1	2	1	2	1	3	1	1	1	1
(null)	family108	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1
(null)	family109	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1
(null)	family110	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1
(null)	family111	1	1	1	1	1	3	1	1	1	1	2	1	1	2	1
(null)	family112	1	1	1	1	1	1	4	1	1	1	1	1	1	2	1
(null)	family113	1	1	1	1	1	1	1	1	3	1	2	1	2	1	1
(null)	family114	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1
(null)	family115	1	2	1	1	2	1	1	1	1	1	1	1	3	1	1
(null)	family116	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1
(null)	family117	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1
(null)	family118	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family119	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1
(null)	family120	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1
(null)	family121	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1
(null)	family122	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1
(null)	family123	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family124	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1
(null)	family125	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1
(null)	family126	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1
(null)	family127	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1
(null)	family128	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1
(null)	family129	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family130	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1
(null)	family131	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family132	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
(null)	family133	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family134	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family135	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family136	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
(null)	family137	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family138	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family139	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1
(null)	family140	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1
(null)	family141	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1
(null)	family142	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
(null)	family143	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family144	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1
(null)	family145	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
(null)	family146	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1
(null)	family147	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1
(null)	family148	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
(null)	family149	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
(null)	family150	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	family151	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	family152	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	family153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family154	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	family155	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	family156	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	family157	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
(null)	family158	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family159	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family161	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	family162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family163	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	family164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family165	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family166	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	family167	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	family168	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
(null)	family169	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	family170	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	family171	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	family172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family173	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
(null)	family174	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family175	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	family176	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
(null)	family177	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
(null)	family178	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
(null)	family179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family180	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
(null)	family181	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	family182	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	family183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	family184	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
(null)	family185	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
(null)	family186	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
(null)	family187	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	family188	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
(null)	family189	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
(null)	family190	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	family191	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family192	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
(null)	family193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family211	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family213	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family290	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family293	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	family298	3	5	0	2	6	2	7	6	14	21	19	3	8	2	1
(null)	family299	3	6	1	2	8	2	3	14	4	2	4	15	4	6	0
(null)	family300	4	8	0	3	5	1	5	7	5	7	7	6	7	4	2
(null)	family301	1	10	1	1	7	0	6	5	4	5	5	8	8	2	1
(null)	family302	2	4	2	1	4	2	5	4	4	3	5	4	6	6	0
(null)	family303	2	5	2	2	4	0	5	3	5	4	6	5	3	3	1
(null)	family304	4	6	4	1	3	1	4	3	3	3	4	4	5	4	0
(null)	family305	3	2	1	1	6	1	9	0	2	2	3	1	6	7	3
(null)	family306	1	3	1	1	3	2	9	2	2	2	4	2	4	2	0
(null)	family307	1	3	1	2	2	0	8	2	2	3	2	4	3	2	3
(null)	family308	3	5	0	2	3	1	4	2	1	5	2	2	4	3	1
(null)	family309	3	3	1	3	2	0	3	2	4	4	2	4	3	2	2
(null)	family310	3	4	0	2	2	2	2	3	3	2	3	3	3	1	4
(null)	family311	3	1	3	3	3	2	2	2	3	3	3	3	3	3	0
(null)	family312	2	3	2	2	3	2	2	0	3	2	3	4	4	1	2
(null)	family313	2	3	1	2	3	0	3	2	2	3	2	3	4	2	1
(null)	family314	4	3	1	2	3	1	4	2	2	3	3	1	3	1	0
(null)	family315	1	3	2	1	2	0	2	2	4	3	3	1	4	2	2
(null)	family316	3	2	1	1	3	0	3	3	2	2	2	2	2	3	3
(null)	family317	1	2	1	2	3	0	4	2	2	2	3	2	4	2	1
(null)	family318	3	3	1	2	3	1	2	4	1	1	2	3	2	0	1
(null)	family319	1	4	1	1	1	0	4	2	1	5	1	3	3	1	1
(null)	family320	2	2	1	1	3	0	2	2	2	3	1	2	3	3	2
(null)	family321	1	3	0	1	2	1	3	1	4	2	2	2	3	3	1
(null)	family322	3	4	1	2	1	1	3	2	2	1	3	2	3	0	1
(null)	family323	1	3	2	1	1	0	2	2	2	2	4	2	3	2	1
(null)	family324	2	2	2	2	2	0	3	1	2	2	2	2	2	2	2
(null)	family325	2	2	2	1	2	1	3	0	2	2	2	3	3	1	2
(null)	family326	2	2	1	0	2	4	3	1	2	2	1	2	3	1	1
(null)	family327	2	2	2	0	2	1	2	2	1	1	1	3	4	2	2
(null)	family328	2	3	0	1	1	1	3	1	3	2	4	2	2	1	1
(null)	family329	2	3	1	0	1	1	3	2	2	2	2	2	2	2	1
(null)	family330	1	3	2	1	1	2	2	3	1	1	2	3	1	0	2
(null)	family331	2	2	1	1	2	2	2	1	2	2	2	2	2	1	0
(null)	family332	2	2	2	1	2	0	2	1	2	2	2	1	2	2	1
(null)	family333	2	2	1	1	2	0	3	1	2	2	2	1	2	2	1
(null)	family334	0	2	1	2	1	1	2	2	2	2	2	1	2	2	2
(null)	family335	2	2	1	0	1	1	2	2	2	2	2	2	2	2	1
(null)	family336	2	2	1	2	2	0	2	2	1	2	1	2	2	1	1
(null)	family337	1	2	0	1	2	1	2	1	2	2	2	1	4	1	1
(null)	family338	1	2	1	1	1	0	2	1	2	1	1	2	2	2	4
(null)	family339	1	1	0	2	1	1	2	2	2	2	2	2	2	2	1
(null)	family340	2	2	1	2	2	1	2	1	2	2	2	1	2	0	1
(null)	family341	1	2	1	2	1	2	2	2	1	1	2	2	2	1	0
(null)	family342	2	2	0	2	1	1	2	2	1	2	1	2	1	2	1
(null)	family343	2	2	1	1	1	1	2	1	2	2	2	2	1	2	0
(null)	family344	3	2	1	0	1	1	3	2	1	1	1	1	3	1	1
(null)	family345	2	2	1	1	2	0	1	1	1	1	1	3	2	2	2
(null)	family346	2	2	0	1	2	1	1	2	1	2	2	1	2	1	1
(null)	family347	2	2	1	1	0	1	1	2	1	1	1	2	3	2	1
(null)	family348	1	2	1	2	1	0	2	1	1	2	2	1	2	2	1
(null)	family349	1	1	1	1	1	1	2	0	2	1	5	1	1	1	1
(null)	family350	1	2	1	1	1	1	1	0	2	2	2	3	1	1	1
(null)	family351	1	1	2	1	2	1	3	1	1	1	1	1	3	1	0
(null)	family352	1	2	1	1	1	1	1	0	1	2	3	1	2	1	1
(null)	family353	1	1	1	1	1	0	2	1	2	1	2	1	2	1	1
(null)	family354	1	1	1	1	1	1	1	0	2	1	2	1	1	3	1
(null)	family355	1	1	2	0	1	1	1	1	1	1	2	1	2	2	1
(null)	family356	2	1	1	0	1	1	3	1	1	1	1	1	2	1	1
(null)	family357	1	1	0	1	1	1	2	1	2	1	2	1	2	1	1
